Step,Action,Reward,Done,Step_Count,Checkin,Security,Boarding,Services_to_be_Switched,Wait_Checkin_Queue,Buffer_Checkin_to_Security,Wait_Security_Queue,Buffer_Security_to_Boarding,Wait_Boarding_Queue,Reward_R1
171,0,0.03883162292253202,False,171.0,146.0,21.0,63.0,0.0,3194.0,145.0,1722.0,92.0,62.0,66.0
172,0,0.032111575293393466,False,172.0,146.0,21.0,63.0,0.0,3208.0,155.0,1732.0,89.0,66.0,62.0
173,0,0.03820913934550299,False,173.0,146.0,21.0,63.0,0.0,3229.0,145.0,1742.0,98.0,54.0,66.0
174,0,0.018923122332213244,False,174.0,146.0,21.0,63.0,0.0,3225.0,158.0,1749.0,92.0,69.0,54.0
175,0,0.0424545151817879,False,175.0,146.0,21.0,63.0,0.0,3242.0,145.0,1762.0,95.0,60.0,69.0
176,0,0.02787742560469833,False,176.0,146.0,21.0,63.0,0.0,3250.0,155.0,1772.0,94.0,64.0,60.0
177,0,0.03380281334826789,False,177.0,146.0,21.0,63.0,0.0,3258.0,130.0,1797.0,94.0,63.0,64.0
178,0,0.03220226742954016,False,178.0,146.0,21.0,63.0,0.0,3261.0,148.0,1799.0,98.0,59.0,63.0
179,0,0.025402753811844717,False,179.0,146.0,21.0,63.0,0.0,3288.0,152.0,1795.0,91.0,70.0,59.0
180,0,0.04299551458642367,False,180.0,146.0,21.0,63.0,0.0,3283.0,159.0,1808.0,102.0,52.0,70.0
181,0,0.013563204472295379,False,181.0,146.0,21.0,63.0,0.0,3301.0,131.0,1836.0,94.0,71.0,52.0
182,0,0.04366895730532094,False,182.0,146.0,21.0,63.0,0.0,3310.0,139.0,1848.0,103.0,54.0,71.0
183,0,0.015996125087034185,False,183.0,146.0,21.0,63.0,0.0,3329.0,122.0,1865.0,96.0,70.0,54.0
184,0,0.04159161545525181,False,184.0,146.0,21.0,63.0,0.0,3335.0,157.0,1850.0,95.0,64.0,70.0
185,0,0.03165723165723165,False,185.0,146.0,21.0,63.0,0.0,3356.0,139.0,1868.0,102.0,56.0,64.0
186,0,0.018574733347460626,False,186.0,146.0,21.0,63.0,0.0,3379.0,162.0,1865.0,100.0,65.0,56.0
187,0,0.03207903207903208,False,187.0,146.0,21.0,63.0,0.0,3416.0,143.0,1884.0,95.0,68.0,65.0
188,0,0.03665551620097075,False,188.0,146.0,21.0,63.0,0.0,3432.0,159.0,1888.0,96.0,62.0,68.0
189,0,0.026628422082967534,False,189.0,146.0,21.0,63.0,0.0,3454.0,146.0,1901.0,94.0,65.0,62.0
190,0,0.031165173210627756,False,190.0,146.0,21.0,63.0,0.0,3462.0,153.0,1914.0,96.0,61.0,65.0
191,0,0.024180238952966226,False,191.0,146.0,21.0,63.0,0.0,3507.0,148.0,1919.0,100.0,59.0,61.0
192,0,0.02034341920705557,False,192.0,146.0,21.0,63.0,0.0,3544.0,161.0,1926.0,98.0,65.0,59.0
193,0,0.029430165793802157,False,193.0,146.0,21.0,63.0,0.0,3563.0,142.0,1945.0,101.0,60.0,65.0
194,0,0.021202282565918926,False,194.0,146.0,21.0,63.0,0.0,3567.0,150.0,1957.0,98.0,66.0,60.0
195,0,0.030063875518420977,False,195.0,146.0,21.0,63.0,0.0,3595.0,133.0,1974.0,90.0,71.0,66.0
196,0,0.038040116449207365,False,196.0,146.0,21.0,63.0,0.0,3603.0,155.0,1972.0,91.0,62.0,71.0
197,0,0.023171651580742483,False,197.0,146.0,21.0,63.0,0.0,3633.0,138.0,1989.0,95.0,59.0,62.0
198,0,0.01825081484172393,False,198.0,146.0,21.0,63.0,0.0,3647.0,166.0,1981.0,93.0,65.0,59.0
199,0,0.027258095439913615,False,199.0,146.0,21.0,63.0,0.0,3678.0,154.0,1993.0,95.0,61.0,65.0
200,0,0.02053804781077509,False,200.0,146.0,21.0,63.0,0.0,3684.0,157.0,2010.0,92.0,66.0,61.0
201,0,0.02809047013592468,False,201.0,146.0,21.0,63.0,0.0,3717.0,147.0,2020.0,103.0,52.0,66.0
202,0,0.005285497330951877,False,202.0,146.0,21.0,63.0,0.0,3725.0,161.0,2026.0,84.0,82.0,52.0
203,0,0.052599925327198066,False,203.0,146.0,21.0,63.0,0.0,3758.0,145.0,2042.0,91.0,56.0,82.0
204,0,0.01114466341739069,False,204.0,146.0,21.0,63.0,0.0,3772.0,161.0,2046.0,102.0,52.0,56.0
205,0,0.004225950816859905,False,205.0,146.0,21.0,63.0,0.0,3771.0,137.0,2070.0,93.0,72.0,52.0
206,0,0.0358792722429086,False,206.0,146.0,21.0,63.0,0.0,3778.0,154.0,2073.0,87.0,69.0,72.0
207,0,0.030653815881088606,False,207.0,146.0,21.0,63.0,0.0,3820.0,143.0,2084.0,99.0,51.0,69.0
208,0,0.0015261253897617538,False,208.0,146.0,21.0,63.0,0.0,3833.0,152.0,2095.0,93.0,69.0,51.0
209,0,0.029607513698422794,False,209.0,146.0,21.0,63.0,0.0,3858.0,135.0,2112.0,92.0,64.0,69.0
210,0,0.021657761430488698,False,210.0,146.0,21.0,63.0,0.0,3863.0,152.0,2115.0,98.0,57.0,64.0
211,0,0.009685768776677872,False,211.0,146.0,21.0,63.0,0.0,3908.0,140.0,2127.0,96.0,65.0,57.0
212,0,0.02235769281223826,False,212.0,146.0,21.0,63.0,0.0,3904.0,159.0,2128.0,89.0,70.0,65.0
213,0,0.029737938828847912,False,213.0,146.0,21.0,63.0,0.0,3929.0,131.0,2156.0,93.0,59.0,70.0
214,0,0.011933268751450565,False,214.0,146.0,21.0,63.0,0.0,3951.0,153.0,2154.0,91.0,65.0,59.0
215,0,0.021006771006771008,False,215.0,146.0,21.0,63.0,0.0,3982.0,138.0,2169.0,101.0,53.0,65.0
216,0,0.0015353333535151753,False,216.0,146.0,21.0,63.0,0.0,3990.0,145.0,2182.0,100.0,64.0,53.0
217,0,0.018386411568229746,False,217.0,146.0,21.0,63.0,0.0,4015.0,128.0,2199.0,95.0,68.0,64.0
218,0,0.024947527220254492,False,218.0,146.0,21.0,63.0,0.0,4003.0,152.0,2195.0,90.0,68.0,68.0
219,0,0.0247885952431407,False,219.0,146.0,21.0,63.0,0.0,4013.0,143.0,2204.0,92.0,61.0,68.0
220,0,0.013425841834932742,False,220.0,146.0,21.0,63.0,0.0,4029.0,150.0,2217.0,104.0,51.0,61.0
221,0,-0.003109390609390611,False,221.0,146.0,21.0,63.0,0.0,4055.0,143.0,2224.0,99.0,68.0,51.0
222,0,0.023397940443394993,False,222.0,146.0,21.0,63.0,0.0,4076.0,149.0,2238.0,93.0,69.0,68.0
