Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
419,43.0,0.186,4.71,125371,0.143734
420,43.644,0.186,4.8,125670,0.145869
421,38.438,0.185,5.0,125969,0.128923
422,43.279,0.184,4.74,126268,0.14561
423,26.589,0.184,5.61,126567,0.089487
424,31.857,0.183,5.27,126866,0.110377
425,34.114,0.182,5.45,127165,0.113787
426,25.4,0.181,5.97,127464,0.085738
427,39.024,0.181,5.05,127763,0.130295
428,27.02,0.18,5.95,128062,0.094917
429,40.128,0.179,5.2,128361,0.133842
430,42.188,0.178,4.7,128660,0.144328
431,39.723,0.178,4.8,128959,0.132655
432,42.349,0.177,5.17,129258,0.143369
433,25.483,0.176,5.9,129557,0.085663
434,38.079,0.176,5.25,129856,0.128593
435,43.372,0.175,4.79,130155,0.14529
436,20.928,0.174,6.42,130454,0.07376
437,43.915,0.174,5.13,130753,0.148791
438,40.009,0.173,5.16,131052,0.133766
439,24.862,0.172,5.98,131351,0.085156
440,44.952,0.171,4.67,131650,0.150101
441,35.692,0.171,5.64,131949,0.121065
442,34.878,0.17,5.67,132248,0.117207
443,45.086,0.169,4.86,132547,0.150672
444,40.967,0.169,5.35,132846,0.13695
445,38.074,0.168,5.04,133145,0.129052
446,44.632,0.167,4.88,133444,0.149495
447,39.964,0.167,5.35,133743,0.13386
448,29.711,0.166,5.91,134042,0.099197
449,43.412,0.165,5.11,134341,0.148128
450,25.349,0.165,6.25,134640,0.085574
451,22.002,0.164,6.36,134939,0.074997
452,40.981,0.163,5.09,135238,0.136848
453,41.937,0.163,5.02,135537,0.141241
454,22.954,0.162,6.32,135836,0.078025
455,37.435,0.161,5.4,136135,0.130538
456,23.87,0.161,6.17,136434,0.080366
457,31.281,0.16,5.81,136733,0.106863
458,27.62,0.16,6.16,137032,0.093528
459,24.285,0.159,6.01,137331,0.084505
460,26.062,0.158,6.52,137630,0.093022
461,25.444,0.158,6.18,137929,0.086271
462,45.017,0.157,4.85,138228,0.150447
463,28.297,0.156,5.91,138527,0.097245
464,31.698,0.156,5.69,138826,0.106067
465,30.127,0.155,5.95,139125,0.10118
466,38.092,0.154,5.21,139424,0.128496
467,40.893,0.154,5.07,139723,0.136366
468,29.946,0.153,5.63,140022,0.100219
469,34.834,0.153,5.41,140321,0.116331
470,30.243,0.152,5.7,140620,0.101422
471,26.578,0.151,6.29,140919,0.089368
472,39.115,0.151,5.64,141218,0.131198
473,34.059,0.15,5.68,141517,0.114904
474,28.218,0.15,6.18,141816,0.094833
475,33.087,0.149,5.72,142115,0.110941
476,43.266,0.148,5.2,142414,0.144273
477,23.641,0.148,6.19,142713,0.080492
478,32.233,0.147,5.9,143012,0.107858
479,19.942,0.147,6.63,143311,0.069178
480,38.064,0.146,5.62,143610,0.132595
481,45.887,0.145,5.26,143909,0.153216
482,32.391,0.145,5.98,144208,0.110175
483,41.201,0.144,5.45,144507,0.137403
484,35.96,0.144,6.19,144806,0.12027
485,30.92,0.143,3.25,145105,0.104663
486,43.925,0.143,2.44,145404,0.146466
487,44.911,0.142,2.44,145703,0.150194
488,20.382,0.141,2.74,146002,0.070234
489,30.863,0.141,2.57,146301,0.103656
490,28.014,0.14,2.54,146600,0.098512
491,41.722,0.14,2.46,146899,0.139473
492,31.037,0.139,2.7,147198,0.103893
493,31.062,0.139,2.52,147497,0.105468
494,25.415,0.138,2.72,147796,0.086131
495,44.771,0.138,2.37,148095,0.14942
496,44.706,0.137,2.43,148394,0.149407
497,41.988,0.136,2.49,148693,0.145671
498,38.574,0.136,2.5,148992,0.128971
499,43.844,0.135,2.42,149291,0.14688
500,34.704,0.135,2.65,149590,0.116096
501,33.861,0.134,2.53,149889,0.117207
502,39.455,0.134,2.49,150188,0.131912
503,40.938,0.133,2.52,150487,0.137058
504,30.669,0.133,2.69,150786,0.103299
505,40.417,0.132,2.44,151085,0.135126
506,42.973,0.132,2.5,151384,0.143974
507,45.223,0.131,2.47,151683,0.15113
508,36.041,0.131,2.63,151982,0.12021
509,41.273,0.13,2.43,152281,0.137972
510,39.18,0.129,2.64,152580,0.131018
511,42.081,0.129,2.54,152879,0.1418
512,45.009,0.128,2.49,153178,0.150751
513,33.707,0.128,2.65,153477,0.115188
514,44.723,0.127,2.49,153776,0.149122
515,31.573,0.127,2.66,154075,0.105318
516,43.714,0.126,2.45,154374,0.146096
517,25.289,0.126,2.74,154673,0.084925
518,46.457,0.125,2.5,154972,0.156384
519,21.556,0.125,2.86,155271,0.075119
520,30.792,0.124,2.73,155570,0.103058
521,44.891,0.124,2.49,155869,0.150027
522,25.709,0.123,2.84,156168,0.086573
523,22.372,0.123,2.79,156467,0.079955
524,42.113,0.122,2.48,156766,0.143717
525,33.233,0.122,2.75,157065,0.110852
526,31.271,0.121,2.75,157364,0.104663
527,40.083,0.121,2.7,157663,0.134009
528,42.774,0.12,2.59,157962,0.144726
529,30.666,0.12,2.79,158261,0.102948
530,27.175,0.12,2.85,158560,0.090667
531,32.469,0.119,2.86,158859,0.108885
532,28.909,0.119,2.89,159158,0.096469
533,33.016,0.118,2.78,159457,0.110466
534,38.558,0.118,2.71,159756,0.130392
535,37.434,0.117,2.76,160055,0.124862
536,40.149,0.117,2.61,160354,0.135918
537,30.879,0.116,2.89,160653,0.103336
538,31.595,0.116,2.8,160952,0.105733
539,41.83,0.115,2.72,161251,0.139504
