Episode,Reward,Steps,Duration(s),ActorLoss,CriticLoss,Entropy,AdvantageMean,AdvantageStd,ValueMean
231,-118.4030494337313,300,54.11,-0.002823,7252.801602,0.01,0.0,1.0,-147.83784
232,-94.54212315462314,300,53.06,-0.00169,41933.641006,0.01,0.0,1.0,-452.0791
233,-109.89786059899693,300,53.26,-0.000312,16760.200232,0.01,0.0,1.0,-261.0987
234,-96.50095418049962,300,53.2,-0.000929,35189.622656,0.01,0.0,1.0,-416.43307
235,-101.08340632431545,300,53.03,-0.002958,26957.764448,0.01,0.0,1.0,-352.0567
236,-101.05698918085278,300,52.95,-0.004368,30818.313887,0.01,0.0,1.0,-368.07962
237,-103.54447446492905,300,53.34,-0.001658,25026.551855,0.01,0.0,1.0,-333.33685
238,-99.1188487438488,300,52.86,3.1e-05,31187.973281,0.01,-0.0,1.0,-382.11432
239,-98.4319488592216,300,53.22,-0.004071,31880.307957,0.01,0.0,1.0,-388.3279
240,-114.84024451978999,300,53.41,7e-05,10491.542344,0.01,-0.0,1.0,-194.85411
241,-102.58967089308001,300,53.18,0.001165,25814.732222,0.01,0.0,1.0,-340.3925
242,-114.31525187775188,300,54.27,-0.00328,10651.442722,0.01,0.0,1.0,-197.89302
243,-116.12390778413506,300,53.19,-0.002155,9491.328564,0.01,0.0,1.0,-179.45909
244,-108.99640431117703,300,53.72,-0.003089,18038.261733,0.01,-0.0,1.0,-273.26376
245,-116.42435868004048,300,53.44,-0.001153,8889.159863,0.01,0.0,1.0,-173.9523
246,-95.41226042476042,300,52.78,-0.00056,40944.172715,0.01,-0.0,1.0,-450.44473
247,-98.98606254856246,300,53.34,-0.000128,32029.863369,0.01,0.0,1.0,-386.1329
248,-115.08507952485222,300,53.06,-0.000538,10135.319189,0.01,0.0,1.0,-194.9485
249,-101.40939229121048,300,52.94,-0.002091,27055.794434,0.01,0.0,1.0,-350.27145
250,-112.5387014080196,300,53.35,-0.003088,13140.493298,0.01,0.0,1.0,-228.78773
251,-111.57552388688744,300,53.1,-0.001379,13458.044038,0.01,0.0,1.0,-231.08324
252,-101.6608206187752,300,53.67,0.003114,26196.709072,0.01,-0.0,1.0,-350.14694
253,-106.0185026253208,300,53.66,-0.001389,20925.357871,0.01,-0.0,1.0,-301.80795
254,-109.1450498575498,300,53.47,-0.002413,15678.412642,0.01,0.0,1.0,-256.34024
255,-102.71493313084213,300,53.04,0.000345,25485.356201,0.01,-0.0,1.0,-339.42368
256,-108.05200666337036,300,53.75,-0.000252,18506.721438,0.01,0.0,1.0,-282.55725
257,-104.65900673400667,300,53.5,-0.001448,22389.376763,0.01,-0.0,1.0,-313.57022
258,-115.24200807609898,300,53.03,-0.000855,9944.525282,0.01,-0.0,1.0,-190.93175
259,-104.49287454969271,300,53.09,-0.002808,21995.966484,0.01,0.0,1.0,-312.4285
260,-94.66214240305155,300,53.23,0.003424,38809.327217,0.01,-0.0,1.0,-441.44275
261,-109.54519113041842,300,53.05,-0.002798,17487.904771,0.01,-0.0,1.0,-266.60162
262,-103.55803283416923,300,53.53,-0.001336,23162.245498,0.01,-0.0,1.0,-324.52286
263,-94.17412322525966,300,52.78,-0.001317,38480.086665,0.01,0.0,1.0,-437.4321
264,-95.00713898895717,300,53.06,-0.000662,39118.654023,0.01,0.0,1.0,-441.48572
265,-104.73833380424288,300,57.73,-0.000384,22216.201533,0.01,0.0,1.0,-313.17337
266,-94.1925699300699,300,53.12,0.000149,40495.484224,0.01,-0.0,1.0,-444.14114
267,-98.31728650137748,300,52.71,0.000898,33185.069844,0.01,0.0,1.0,-396.41574
268,-104.03996315132675,300,56.23,-0.002705,24391.072686,0.01,0.0,1.0,-324.60266
269,-106.47027766005041,300,54.11,-0.001004,21671.065503,0.01,0.0,1.0,-305.61765
270,-102.86568099409008,300,53.26,-0.001438,24483.506465,0.01,0.0,1.0,-335.7059
271,-106.28059411127597,300,53.28,-0.001643,20477.716626,0.01,0.0,1.0,-296.3636
272,-107.75278336982888,300,53.13,-0.003438,19257.810476,0.01,-0.0,1.0,-285.84875
273,-110.99448506039417,300,53.26,-0.005145,14049.395996,0.01,0.0,1.0,-236.3137
274,-107.56346889642342,300,53.43,-0.000829,19846.643599,0.01,0.0,1.0,-291.4825
275,-101.72702226224956,300,53.14,-0.000576,27458.107146,0.01,0.0,1.0,-355.7346
276,-104.09848955758049,300,53.71,-0.004439,23792.304873,0.01,-0.0,1.0,-323.69113
277,-114.86785483035479,300,52.82,0.000366,11491.091777,0.01,0.0,1.0,-206.32336
278,-107.37278790233339,300,53.21,0.000614,19275.345684,0.01,0.0,1.0,-283.93338
279,-115.22195056626867,300,53.17,-0.000231,9678.605962,0.01,-0.0,1.0,-191.06548
280,-110.12516687857598,300,53.0,-0.001638,15947.180796,0.01,0.0,1.0,-255.15807
281,-101.60595023663201,300,53.28,-0.002401,25962.636968,0.01,0.0,1.0,-344.37402
282,-110.65758282121918,300,52.96,0.002877,15066.923308,0.01,0.0,1.0,-248.7539
283,-112.3416348802712,300,53.4,-0.001496,12843.118555,0.01,0.0,1.0,-224.53183
284,-107.33907224929958,300,53.09,0.000291,19446.255044,0.01,-0.0,1.0,-286.48636
285,-109.5653295778296,300,53.02,-0.000104,16618.267415,0.01,-0.0,1.0,-263.50024
286,-112.23878676037772,300,53.09,-0.001605,12431.378707,0.01,0.0,1.0,-222.93889
287,-106.82709613618708,300,52.9,5.8e-05,19416.318562,0.01,-0.0,1.0,-291.91388
288,-112.44729403593047,300,53.0,-0.002547,13426.439714,0.01,0.0,1.0,-227.28899
289,-106.3801252619435,300,53.22,-0.000281,19254.794321,0.01,-0.0,1.0,-289.66486
290,-104.03670210261119,300,52.44,0.001643,23290.801487,0.01,0.0,1.0,-322.23938
