Episode,Reward,Loss,Duration_s,Epsilon
568,33.30929252,0.000804585,53.04,0.058
569,31.38937805,0.000353438,53.24,0.058
570,34.53629035,0.0003795,52.88,0.057
571,38.09029632,0.000273956,52.92,0.057
572,33.59266382,0.000397532,52.96,0.057
573,43.04141708,0.000361631,52.9,0.057
574,42.37110469,0.001104385,52.72,0.056
575,39.53136758,0.014221721,52.86,0.056
576,45.52274169,0.000202407,52.7,0.056
577,30.0007514,0.000313002,52.98,0.055
578,38.59395705,0.000233074,53.09,0.055
579,32.92120064,0.000258462,53.01,0.055
580,38.35139124,0.000142609,52.95,0.055
581,32.83352788,0.000148282,53.12,0.054
582,28.63988869,0.001640179,53.57,0.054
583,24.60576482,0.00023763,53.07,0.054
584,43.0058587,0.000254771,52.57,0.054
585,36.76653923,0.001224621,52.65,0.053
586,44.95152251,0.000165995,52.81,0.053
587,35.93650373,0.002560906,52.43,0.053
588,43.67770332,0.000417438,52.71,0.052
589,44.90144304,0.00045238,52.6,0.052
590,34.01928021,0.000338061,52.99,0.052
591,45.01889878,0.000231171,52.5,0.052
592,43.37262338,0.000190882,52.26,0.051
593,31.66179717,0.000713774,53.25,0.051
594,22.98208837,0.000295359,52.81,0.051
595,37.93969826,0.00046606,53.02,0.051
596,43.49185297,0.000581136,52.57,0.05
597,40.78281474,0.000387951,52.73,0.05
598,46.2149814,0.000560612,52.53,0.05
599,27.23041899,0.000206229,53.09,0.05
600,31.67084805,0.000271473,52.92,0.05
601,43.59132614,0.001173736,52.83,0.05
602,28.66640619,0.000253076,53.01,0.05
603,41.80156489,0.000248272,52.64,0.05
604,33.576813,0.000422269,52.94,0.05
605,24.07152586,0.000263701,53.01,0.05
606,42.54144328,0.000295285,52.45,0.05
607,40.41962545,0.000259767,52.71,0.05
608,45.9066722,0.000161164,56.7,0.05
609,37.75969632,0.000394951,52.6,0.05
610,25.02963699,0.000375061,52.99,0.05
611,37.87859598,0.000735813,52.7,0.05
612,41.26022345,0.001441704,52.75,0.05
613,31.45386234,0.000293195,52.51,0.05
614,36.3032531,9.62E-05,52.64,0.05
615,38.66647919,0.000336713,52.89,0.05
616,43.13126486,0.001479347,53.03,0.05
617,40.12945598,0.001446332,52.21,0.05
618,37.77569518,0.014073972,52.63,0.05
619,22.15327429,0.000755113,53.02,0.05
620,38.58498593,0.000245571,52.67,0.05
621,47.08035277,0.000117722,52.38,0.05
622,45.32186286,0.000863775,52.44,0.05
623,38.80164377,0.000168806,52.47,0.05
624,26.31653511,0.000130837,52.67,0.05
625,43.0318429,0.000473162,52.6,0.05
626,33.19829854,0.000434798,52.47,0.05
627,27.30989263,0.015338491,53.28,0.05
628,42.61384062,0.000190147,52.02,0.05
629,38.61671111,0.000252629,53.01,0.05
630,33.88797268,0.000425684,52.52,0.05
631,44.36426444,0.020392798,52.59,0.05
632,38.57466065,0.001757656,52.48,0.05
